"number","ja","en","de","fr","ko","zh-cn","zh-tw"
"208","ハガネール","steelix","stahlos","steelix","강철톤","大钢蛇","大鋼蛇"
"209","ブルー","snubbull","snubbull","snubbull","블루","布鲁","布魯"
"210","グランブル","granbull","granbull","granbull","그랑블루","布鲁皇","布魯皇"
"211","ハリーセン","qwilfish","baldorfish","qwilfish","침바루","千针鱼","千針魚"
"212","ハッサム","scizor","scherox","cizayox","핫삼","巨钳螳螂","巨鉗螳螂"
"213","ツボツボ","shuckle","pottrott","caratroc","단단지","壶壶","壺壺"
"214","ヘラクロス","heracross","skaraborn","scarhino","헤라크로스","赫拉克罗斯","赫拉克羅斯"
"215","ニューラ","sneasel","sniebel","farfuret","포푸니","狃拉","狃拉"
"216","ヒメグマ","teddiursa","teddiursa","teddiursa","깜지곰","熊宝宝","熊寶寶"
"217","リングマ","ursaring","ursaring","ursaring","링곰","圈圈熊","圈圈熊"
"218","マグマッグ","slugma","schneckmag","limagma","마그마그","熔岩虫","熔岩蟲"
"219","マグカルゴ","magcargo","magcargo","volcaropod","마그카르고","熔岩蜗牛","熔岩蝸牛"
"220","ウリムー","swinub","quiekel","marcacrin","꾸꾸리","小山猪","小山豬"
"221","イノムー","piloswine","keifel","cochignon","메꾸리","长毛猪","長毛豬"
"222","サニーゴ","corsola","corasonn","corayon","코산호","太阳珊瑚","太陽珊瑚"
"223","テッポウオ","remoraid","remoraid","remoraid","총어","铁炮鱼","鐵炮魚"
"224","オクタン","octillery","octillery","octillery","대포무노","章鱼桶","章魚桶"
"225","デリバード","delibird","botogel","cadoizo","딜리버드","信使鸟","信使鳥"
"226","マンタイン","mantine","mantax","demanta","만타인","巨翅飞鱼","巨翅飛魚"
"227","エアームド","skarmory","panzaeron","airmure","무장조","盔甲鸟","盔甲鳥"
"228","デルビル","houndour","hunduster","malosse","델빌","戴鲁比","戴魯比"
"229","ヘルガー","houndoom","hundemon","demolosse","헬가","黑鲁加","黑魯加"
"230","キングドラ","kingdra","seedraking","hyporoi","킹드라","刺龙王","刺龍王"
"231","ゴマゾウ","phanpy","phanpy","phanpy","코코리","小小象","小小象"
"232","ドンファン","donphan","donphan","donphan","코리갑","顿甲","頓甲"
"233","ポリゴン2","porygon2","porygon2","porygon2","폴리곤2","多边兽2型","多邊獸ii"
"234","オドシシ","stantler","damhirplex","cerfrousse","노라키","惊角鹿","驚角鹿"
"235","ドーブル","smeargle","farbeagle","queulorior","루브도","图图犬","圖圖犬"
"236","バルキー","tyrogue","rabauz","debugant","배루키","无畏小子","無畏小子"
"237","カポエラー","hitmontop","kapoera","kapoera","카포에라","战舞郎","戰舞郎"
"238","ムチュール","smoochum","kussilla","lippouti","뽀뽀라","迷唇娃","迷唇娃"
"239","エレキッド","elekid","elekid","elekid","에레키드","电击怪","電擊怪"
"240","ブビィ","magby","magby","magby","마그비","鸭嘴宝宝","鴨嘴寶寶"
"241","ミルタンク","miltank","miltank","ecremeuh","밀탱크","大奶罐","大奶罐"
"242","ハピナス","blissey","heiteira","leuphorie","해피나스","幸福蛋","幸福蛋"
"243","ライコウ","raikou","raikou","raikou","라이코","雷公","雷公"
"244","エンテイ","entei","entei","entei","앤테이","炎帝","炎帝"
"245","スイクン","suicune","suicune","suicune","스이쿤","水君","水君"
"246","ヨーギラス","larvitar","larvitar","embrylex","애버라스","幼基拉斯","幼基拉斯"
"247","サナギラス","pupitar","pupitar","ymphect","데기라스","沙基拉斯","沙基拉斯"
"248","バンギラス","tyranitar","despotar","tyranocif","마기라스","班基拉斯","班基拉斯"
"249","ルギア","lugia","lugia","lugia","루기아","洛奇亚","洛奇亞"
"250","ホウオウ","ho-oh","ho-oh","ho-oh","칠색조","凤王","鳳王"
"251","セレビィ","celebi","celebi","celebi","세레비","时拉比","時拉比"
"252","キモリ","treecko","geckarbor","arcko","나무지기","木守宫","木守宮"
"253","ジュプトル","grovyle","reptain","massko","나무돌이","森林蜥蜴","森林蜥蜴"
"254","ジュカイン","sceptile","gewaldro","jungko","나무킹","蜥蜴王","蜥蜴王"
"255","アチャモ","torchic","flemmli","poussifeu","아차모","火稚鸡","火稚雞"
"256","ワカシャモ","combusken","jungglut","galifeu","영치코","力壮鸡","力壯雞"
"257","バシャーモ","blaziken","lohgock","brasegali","번치코","火焰鸡","火焰雞"
"258","ミズゴロウ","mudkip","hydropi","gobou","물짱이","水跃鱼","水躍魚"
"259","ヌマクロー","marshtomp","moorabbel","flobio","늪짱이","沼跃鱼","沼躍魚"
"260","ラグラージ","swampert","sumpex","laggron","대짱이","巨沼怪","巨沼怪"
"261","ポチエナ","poochyena","fiffyen","medhyena","포챠나","土狼犬","土狼犬"
"262","グラエナ","mightyena","magnayen","grahyena","그라에나","大狼犬","大狼犬"
"263","ジグザグマ","zigzagoon","zigzachs","zigzaton","지그제구리","蛇纹熊","蛇紋熊"
"264","マッスグマ","linoone","geradaks","lineon","직구리","直冲熊","直衝熊"
"265","ケムッソ","wurmple","waumpel","chenipotte","개무소","刺尾虫","刺尾蟲"
"266","カラサリス","silcoon","schaloko","armulys","실쿤","甲壳茧","甲殼繭"
"267","アゲハント","beautifly","papinella","charmillon","뷰티플라이","狩猎凤蝶","狩獵鳳蝶"
"268","マユルド","cascoon","panekon","blindalys","카스쿤","盾甲茧","盾甲繭"
"269","ドクケイル","dustox","pudox","papinox","독케일","毒粉蛾","毒粉蛾"
"270","ハスボー","lotad","loturzel","nenupiot","연꽃몬","莲叶童子","蓮葉童子"
"271","ハスブレロ","lombre","lombrero","lombre","로토스","莲帽小童","蓮帽小童"
"272","ルンパッパ","ludicolo","kappalores","ludicolo","로파파","乐天河童","樂天河童"
"273","タネボー","seedot","samurzel","grainipiot","도토링","橡实果","橡實果"
"274","コノハナ","nuzleaf","blanas","pifeuil","잎새코","长鼻叶","長鼻葉"
"275","ダーテング","shiftry","tengulist","tengalice","다탱구","狡猾天狗","狡猾天狗"
"276","スバメ","taillow","schwalbini","nirondelle","테일로","傲骨燕","傲骨燕"
"277","オオスバメ","swellow","schwalboss","heledelle","스왈로","大王燕","大王燕"
"278","キャモメ","wingull","wingull","goelise","갈모매","长翅鸥","長翅鷗"
"279","ペリッパー","pelipper","pelipper","bekipan","패리퍼","大嘴鸥","大嘴鷗"
"280","ラルトス","ralts","trasla","tarsal","랄토스","拉鲁拉丝","拉魯拉絲"
"281","キルリア","kirlia","kirlia","kirlia","킬리아","奇鲁莉安","奇魯莉安"
"282","サーナイト","gardevoir","guardevoir","gardevoir","가디안","沙奈朵","沙奈朵"
"283","アメタマ","surskit","gehweiher","arakdo","비구술","溜溜糖球","溜溜糖球"
"284","アメモース","masquerain","maskeregen","maskadra","비나방","雨翅蛾","雨翅蛾"
"285","キノココ","shroomish","knilz","balignon","버섯꼬","蘑蘑菇","蘑蘑菇"
"286","キノガッサ","breloom","kapilz","chapignon","버섯모","斗笠菇","斗笠菇"
"287","ナマケロ","slakoth","bummelz","parecool","게을로","懒人獭","懶人獺"
"288","ヤルキモノ","vigoroth","muntier","vigoroth","발바로","过动猿","過動猿"
"289","ケッキング","slaking","letarking","monaflemit","게을킹","请假王","請假王"
"290","ツチニン","nincada","nincada","ningale","토중몬","土居忍士","土居忍士"
"291","テッカニン","ninjask","ninjask","ninjask","아이스크","铁面忍者","鐵面忍者"
"292","ヌケニン","shedinja","ninjatom","munja","껍질몬","脱壳忍者","脫殼忍者"
"293","ゴニョニョ","whismur","flurmel","chuchmur","소곤룡","咕妞妞","咕妞妞"
"294","ドゴーム","loudred","krakeelo","ramboum","노공룡","吼爆弹","吼爆彈"
"295","バクオング","exploud","krawumms","brouhabam","폭음룡","爆音怪","爆音怪"
"296","マクノシタ","makuhita","makuhita","makuhita","마크탕","幕下力士","幕下力士"
"297","ハリテヤマ","hariyama","hariyama","hariyama","하리뭉","铁掌力士","鐵掌力士"
"298","ルリリ","azurill","azurill","azurill","루리리","露力丽","露力麗"
"299","ノズパス","nosepass","nasgnet","tarinor","코코파스","朝北鼻","朝北鼻"
"300","エネコ","skitty","eneco","skitty","에나비","向尾喵","向尾喵"
"301","エネコロロ","delcatty","enekoro","delcatty","델케티","优雅猫","優雅貓"
"302","ヤミラミ","sableye","zobiris","tenefix","깜까미","勾魂眼","勾魂眼"
"303","クチート","mawile","flunkifer","mysdibule","입치트","大嘴娃","大嘴娃"
"304","ココドラ","aron","stollunior","galekid","가보리","可可多拉","可可多拉"
"305","コドラ","lairon","stollrak","galegon","갱도라","可多拉","可多拉"
"306","ボスゴドラ","aggron","stolloss","galeking","보스로라","波士可多拉","波士可多拉"
"307","アサナン","meditite","meditie","meditikka","요가랑","玛沙那","瑪沙那"
"308","チャーレム","medicham","meditalis","charmina","요가램","恰雷姆","恰雷姆"
"309","ラクライ","electrike","frizelbliz","dynavolt","썬더라이","落雷兽","落雷獸"
"310","ライボルト","manectric","voltenso","elecsprint","썬더볼트","雷电兽","雷電獸"
"311","プラスル","plusle","plusle","posipi","플러시","正电拍拍","正電拍拍"
"312","マイナン","minun","minun","negapi","마이농","负电拍拍","負電拍拍"
"313","バルビート","volbeat","volbeat","muciole","볼비트","电萤虫","電螢蟲"
"314","イルミーゼ","illumise","illumise","lumivole","네오비트","甜甜萤","甜甜螢"
"315","ロゼリア","roselia","roselia","roselia","로젤리아","毒蔷薇","毒薔薇"
"316","ゴクリン","gulpin","schluppuck","gloupti","꼴깍몬","溶食兽","溶食獸"
"317","マルノーム","swalot","schlukwech","avaltout","꿀꺽몬","吞食兽","吞食獸"
"318","キバニア","carvanha","kanivanha","carvanha","샤프니아","利牙鱼","利牙魚"
"319","サメハダー","sharpedo","tohaido","sharpedo","샤크니아","巨牙鲨","巨牙鯊"
"320","ホエルコ","wailmer","wailmer","wailmer","고래왕자","吼吼鲸","吼吼鯨"
"321","ホエルオー","wailord","wailord","wailord","고래왕","吼鲸王","吼鯨王"
"322","ドンメル","numel","camaub","chamallot","둔타","呆火驼","呆火駝"
"323","バクーダ","camerupt","camerupt","camerupt","폭타","喷火驼","噴火駝"
"324","コータス","torkoal","qurtel","chartor","코터스","煤炭龟","煤炭龜"
"325","バネブー","spoink","spoink","spoink","피그점프","跳跳猪","跳跳豬"
"326","ブーピッグ","grumpig","groink","groret","피그킹","噗噗猪","噗噗豬"
"327","パッチール","spinda","pandir","spinda","얼루기","晃晃斑","晃晃斑"
"328","ナックラー","trapinch","knacklion","kraknoix","톱치","大颚蚁","大顎蟻"
