"id","ja","en","de","fr","ko","zh-cn"
"125","ちからずく","sheer-force","rohe-gewalt","sans-limite","우격다짐","強行"
"126","あまのじゃく","contrary","umkehrung","contestation","심술꾸러기","唱反調"
"127","きんちょうかん","unnerve","anspannung","tension","긴장감","緊張感"
"128","まけんき","defiant","siegeswille","acharné","오기","不服輸"
"129","よわき","defeatist","schwächling","défaitiste","무기력","軟弱"
"130","のろわれボディ","cursed-body","tastfluch","corps-maudit","저주받은바디","詛咒之軀"
"131","いやしのこころ","healer","heilherz","cœur-soin","치유의마음","治癒之心"
"132","フレンドガード","friend-guard","freundeshut","garde-amie","프렌드가드","友情防守"
"133","くだけるよろい","weak-armor","bruchrüstung","armurouillée","깨어진갑옷","碎裂鎧甲"
"134","ヘヴィメタル","heavy-metal","schwermetall","heavy-metal","헤비메탈","重金屬"
"135","ライトメタル","light-metal","leichtmetall","light-metal","라이트메탈","輕金屬"
"136","マルチスケイル","multiscale","multischuppe","multiécaille","멀티스케일","多重鱗片"
"137","どくぼうそう","toxic-boost","giftwahn","rage-poison","독폭주","中毒激升"
"138","ねつぼうそう","flare-boost","hitzewahn","rage-brûlure","열폭주","受熱激升"
"139","しゅうかく","harvest","reiche-ernte","récolte","수확","收穫"
"140","テレパシー","telepathy","telepathie","télépathe","텔레파시","心靈感應"
"141","ムラっけ","moody","gefühlswippe","lunatique","변덕쟁이","心情不定"
"142","ぼうじん","overcoat","wetterfest","envelocape","방진","防塵"
"143","どくしゅ","poison-touch","giftgriff","toxitouche","독수","毒手"
"144","さいせいりょく","regenerator","belebekraft","régé-force","재생력","再生力"
"145","はとむね","big-pecks","brustbieter","cœur-de-coq","부풀린가슴","健壯胸肌"
"146","すなかき","sand-rush","sandscharrer","baigne-sable","모래헤치기","撥沙"
"147","ミラクルスキン","wonder-skin","wunderhaut","peau-miracle","미라클스킨","奇跡皮膚"
"148","アナライズ","analytic","analyse","analyste","애널라이즈","分析"
"149","イリュージョン","illusion","trugbild","illusion","일루전","幻覺"
"150","かわりもの","imposter","doppelgänger","imposteur","괴짜","變身者"
"151","すりぬけ","infiltrator","schwebedurch","infiltration","틈새포착","穿透"
"152","ミイラ","mummy","mumie","momie","미라","木乃伊"
"153","じしんかじょう","moxie","hochmut","impudence","자기과신","自信過度"
"154","せいぎのこころ","justified","redlichkeit","cœur-noble","정의의마음","正義之心"
"155","びびり","rattled","hasenfuß","phobique","주눅","膽怯"
"156","マジックミラー","magic-bounce","magiespiegel","miroir-magik","매직미러","魔法鏡"
"157","そうしょく","sap-sipper","vegetarier","herbivore","초식","食草"
"158","いたずらごころ","prankster","strolch","farceur","짓궂은마음","惡作劇之心"
"159","すなのちから","sand-force","sandgewalt","force-sable","모래의힘","沙之力"
"160","てつのトゲ","iron-barbs","eisenstachel","épine-de-fer","철가시","鐵刺"
"161","ダルマモード","zen-mode","trance-modus","mode-transe","달마모드","達摩模式"
"162","しょうりのほし","victory-star","triumphstern","victorieux","승리의별","勝利之星"
"163","ターボブレイズ","turboblaze","turbobrand","turbobrasier","터보블레이즈","渦輪火焰"
"164","テラボルテージ","teravolt","teravolt","téra-voltage","테라볼티지","兆級電壓"
"165","アロマベール","aroma-veil","dufthülle","aroma-voile","아로마베일","芳香幕"
"166","フラワーベール","flower-veil","blütenhülle","flora-voile","플라워베일","花幕"
"167","ほおぶくろ","cheek-pouch","backentaschen","bajoues","볼주머니","頰囊"
"168","へんげんじざい","protean","wandlungskunst","protéen","변환자재","變幻自如"
"169","ファーコート","fur-coat","fellkleid","toison-épaisse","퍼코트","毛皮大衣"
"170","マジシャン","magician","zauberer","magicien","매지션","魔術師"
"171","ぼうだん","bulletproof","kugelsicher","pare-balles","방탄","防彈"
"172","かちき","competitive","unbeugsamkeit","battant","승기","好勝"
"173","がんじょうあご","strong-jaw","titankiefer","prognathe","옹골찬턱","強壯之顎"
"174","フリーズスキン","refrigerate","frostschicht","peau-gelée","프리즈스킨","冰凍皮膚"
"175","スイートベール","sweet-veil","zuckerhülle","gluco-voile","스위트베일","甜幕"
"176","バトルスイッチ","stance-change","taktikwechsel","déclic-tactique","배틀스위치","戰鬥切換"
"177","はやてのつばさ","gale-wings","orkanschwingen","ailes-bourrasque","질풍날개","疾風之翼"
"178","メガランチャー","mega-launcher","megawumme","méga-blaster","메가런처","超級發射器"
"179","くさのけがわ","grass-pelt","pflanzenpelz","toison-herbue","풀모피","草之毛皮"
"180","きょうせい","symbiosis","nutznießer","symbiose","공생","共生"
"181","かたいツメ","tough-claws","krallenwucht","griffe-dure","단단한-발톱","硬爪"
"182","フェアリースキン","pixilate","feenschicht","peau-féérique","페어리스킨","妖精皮膚"
"183","ぬめぬめ","gooey","viskosität","poisseux","미끈미끈","黏滑"
"184","スカイスキン","aerilate","zenithaut","peau-céleste","스카이스킨","飛行皮膚"
"185","おやこあい","parental-bond","familienbande","amour-filial","부자유친","親子愛"
"186","ダークオーラ","dark-aura","dunkelaura","aura-ténébreuse","다크오라","暗黑氣場"
"187","フェアリーオーラ","fairy-aura","feenaura","aura-féérique","페어리오라","妖精氣場"
"188","オーラブレイク","aura-break","aura-umkehr","aura-inversée","오라브레이크","氣場破壞"
"189","はじまりのうみ","primordial-sea","urmeer","mer-primaire","시작의바다","始源之海"
"190","おわりのだいち","desolate-land","endland","terre-finale","끝의대지","終結之地"
"191","デルタストリーム","delta-stream","delta-wind","souffle-delta","델타스트림","德爾塔氣流"
"192","じきゅうりょく","stamina","zähigkeit","endurance","지구력","持久力"
"193","にげごし","wimp-out","reißaus","escampette","도망태세","躍躍欲逃"
"194","ききかいひ","emergency-exit","rückzug","repli-tactique","위기회피","危險迴避"
"195","みずがため","water-compaction","verklumpen","sable-humide","꾸덕꾸덕굳기","遇水凝固"
"196","ひとでなし","merciless","quälerei","cruauté","무도한행동","不仁不義"
"197","リミットシールド","shields-down","limitschild","bouclier-carcan","리밋실드","界限盾殼"
"198","はりこみ","stakeout","beschattung","filature","잠복","監視*蹲守*"
"199","すいほう","water-bubble","wasserblase","aquabulle","수포","水泡"
"200","はがねつかい","steelworker","stahlprofi","expert-acier","강철술사","鋼能力者"
"201","ぎゃくじょう","berserk","wutausbruch","dracolère","발끈","怒火沖天"
"202","ゆきかき","slush-rush","schneescharrer","chasse-neige","눈치우기","撥雪"
"203","えんかく","long-reach","langstrecke","longue-portée","원격","遠隔"
"204","うるおいボイス","liquid-voice","plätscherstimme","hydrata-son","촉촉보이스","濕潤之聲"
"205","ヒーリングシフト","triage","heilwandel","prioguérison","힐링시프트","先行治療"
"206","エレキスキン","galvanize","elektrohaut","peau-électrique","일렉트릭스킨","電氣皮膚"
"207","サーフテール","surge-surfer","surf-schweif","surf-caudal","서핑테일","衝浪之尾"
"208","ぎょぐん","schooling","fischschwarm","banc","어군","魚群"
"209","ばけのかわ","disguise","kostümspuk","fantômasque","탈","畫皮"
"210","きずなへんげ","battle-bond","freundschaftsakt","synergie","유대변화","牽絆變身"
"211","スワームチェンジ","power-construct","scharwandel","rassemblement","스웜체인지","群聚變形"
"212","ふしょく","corrosion","korrosion","corrosion","부식","腐蝕"
"213","ぜったいねむり","comatose","dauerschlaf","hypersommeil","절대안깸","絕對睡眠"
"214","じょおうのいげん","queenly-majesty","majestät","prestance-royale","여왕의위엄","女王的威嚴"
"215","とびだすなかみ","innards-out","magenkrempler","expuls'organes","내용물분출","飛出的內在物"
"216","おどりこ","dancer","tänzer","danseuse","무희","舞者"
"217","バッテリー","battery","batterie","batterie","배터리","蓄電池"
"218","もふもふ","fluffy","flauschigkeit","boule-de-poils","복슬복슬","毛茸茸"
"219","ビビッドボディ","dazzling","buntkörper","corps-coloré","비비드바디","鮮艷之軀"
"220","ソウルハート","soul-heart","seelenherz","animacœur","소울하트","魂心"
"221","カーリーヘアー","tangling-hair","lockenkopf","mèche-rebelle","컬리헤어","捲髮"
"222","レシーバー","receiver","receiver","receveur","리시버","接球手"
"223","かがくのちから","power-of-alchemy","chemiekraft","osmose","과학의힘","化學之力"
"224","ビーストブースト","beast-boost","bestien-boost","boost-chimère","비스트부스트","異獸提升"
"225","ａｒシステム","rks-system","alpha-system","système-alpha","ar시스템","ａｒ系統"
"226","エレキメイカー","electric-surge","elektro-erzeuger","créa-élec","일렉트릭메이커","電氣製造者"
"227","サイコメイカー","psychic-surge","psycho-erzeuger","créa-psy","사이코메이커","精神製造者"
"228","ミストメイカー","misty-surge","nebel-erzeuger","créa-brume","미스트메이커","薄霧製造者"
"229","グラスメイカー","grassy-surge","gras-erzeuger","créa-herbe","그래스메이커","青草製造者"
"230","メタルプロテクト","full-metal-body","metallprotektor","métallo-garde","메탈프로텍트","金屬防護"
"231","ファントムガード","shadow-shield","phantomschutz","spectro-bouclier","스펙터가드","幻影防守"
"232","プリズムアーマー","prism-armor","prismarüstung","prisme-armure","프리즘아머","稜鏡裝甲"
"233","ブレインフォース","neuroforce","zerebralmacht","cérébro-force","브레인포스","腦核之力"
"234","ふとうのけん","intrepid-sword","kühnes-schwert","lame-indomptable","불요의검","不撓之劍"
"235","ふくつのたて","dauntless-shield","wackerer-schild","égide-inflexible","불굴의방패","不屈之盾"
"236","リベロ","libero","libero","libéro","리베로","自由者"
"237","たまひろい","ball-fetch","apport","ramasse-ball","볼줍기","撿球"
"238","わたげ","cotton-down","wollflaum","effilochage","솜털","棉絮"
"239","スクリューおびれ","propeller-tail","schraubflosse","propulseur","스크루지느러미","螺旋尾鰭"
"240","ミラーアーマー","mirror-armor","spiegelrüstung","armure-miroir","미러아머","鏡甲"
"241","うのミサイル","gulp-missile","würggeschoss","dégobage","그대로꿀꺽미사일","一口飛彈"
"242","すじがねいり","stalwart","stahlrückgrat","nerfs-d’acier","굳건한신념","堅毅"
"243","じょうききかん","steam-engine","dampfantrieb","turbine","증기기관","蒸汽機"
"244","パンクロック","punk-rock","punk-rock","punk-rock","펑크록","龐克搖滾"
"245","すなはき","sand-spit","sandspeier","expul’sable","모래뿜기","吐沙"
"246","こおりのりんぷん","ice-scales","eisflügelstaub","écailles-glacées","얼음인분","冰鱗粉"
"247","じゅくせい","ripen","heranreifen","mûrissement","숙성","熟成"
"248","アイスフェイス","ice-face","tiefkühlkopf","tête-de-gel","아이스페이스","結凍頭"
"249","パワースポット","power-spot","kraftquelle","cercle-d’énergie","파워스폿","能量點"
"250","ぎたい","mimicry","mimese","mimétisme","의태","擬態"
"251","バリアフリー","screen-cleaner","hemmungslos","brise-barrière","배리어프리","除障"
"252","はがねのせいしん","steely-spirit","stählerner-wille","boost-acier","강철정신","鋼之意志"
"253","ほろびのボディ","perish-body","unheilskörper","corps-condamné","멸망의바디","滅亡之軀"
"254","さまようたましい","wandering-spirit","rastlose-seele","âme-vagabonde","떠도는영혼","遊魂"
"255","ごりむちゅう","gorilla-tactics","affenfokus","entêtement","무아지경","一猩一意"
"256","かがくへんかガス","neutralizing-gas","reaktionsgas","gaz-inhibiteur","화학변화가스","化學變化氣體"
"257","パステルベール","pastel-veil","pastellhülle","voile-pastel","파스텔베일","粉彩護幕"
"258","はらぺこスイッチ","hunger-switch","heißhunger","déclic-fringale","꼬르륵스위치","飽了又餓"
"259","クイックドロウ","quick-draw","schnellschuss","tir-vif","퀵드로","速擊"
"260","ふかしのこぶし","unseen-fist","verborgene-faust","poing-invisible","보이지않는주먹","無形拳"
"261","きみょうなくすり","curious-medicine","kuriose-arznei","breuvage-suspect","기묘한약","怪藥"
"262","トランジスタ","transistor","transistor","transistor","트랜지스터","電晶體"
"263","りゅうのあぎと","dragon's-maw","drachenkiefer","dent-de-dragon","용의턱","龍顎"
"264","しろのいななき","chilling-neigh","helles-wiehern","blanche-ruade","백의울음","蒼白嘶鳴"
"265","くろのいななき","grim-neigh","dunkles-wiehern","sombre-ruade","흑의울음","漆黑嘶鳴"
"266/267","じんばいったい","as-one","reitgespann","osmose-équine","혼연일체","人馬一體"
"268","とれないにおい","lingering-aroma","duftschwade","odeur-tenace","가시지않는향기","甩不掉的氣味"
"269","こぼれダネ","seed-sower","streusaat","semencier","넘치는씨","掉出種子"
"270","ねつこうかん","thermal-exchange","thermowandel","thermodynamique","열교환","熱交換"
"271","いかりのこうら","anger-shell","wutpanzer","courroupace","분노의껍질","憤怒甲殼"
"272","きよめのしお","purifying-salt","läutersalz","sel-purificateur","정화의소금","潔淨之鹽"
"273","こんがりボディ","well-baked-body","knusperkruste","bien-cuit","노릇노릇바디","焦香之軀"
"274","かぜのり","wind-rider","windreiter","aéroporté","바람타기","乘風"
"275","ばんけん","guard-dog","wachhund","chien-de-garde","파수견","看門犬"
"276","いわはこび","rocky-payload","steinträger","porte-roche","바위나르기","搬岩"
"277","ふうりょくでんき","wind-power","windkraft","turbine-éolienne","풍력발전","風力發電"
"278","マイティチェンジ","zero-to-hero","superwechsel","supermutation","마이티체인지","全能變身"
"279","しれいとう","commander","kommandant","commandant","사령탑","發號施令"
"280","でんきにかえる","electromorphosis","dynamo","grecharge","전기로바꾸기","電力轉換"
"281","こだいかっせい","protosynthesis","paläosynthese","paléosynthèse","고대활성","古代活性"
"282","クォークチャージ","quark-drive","quantenantrieb","charge-quantique","쿼크차지","夸克充能"
"283","おうごんのからだ","good-as-gold","goldkörper","corps-en-or","황금몸","黃金之軀"
"284","わざわいのうつわ","vessel-of-ruin","unheilsgefäß","urne-du-fléau","재앙의그릇","災禍之鼎"
"285","わざわいのつるぎ","sword-of-ruin","unheilsschwert","épée-du-fléau","재앙의검","災禍之劍"
"286","わざわいのおふだ","tablets-of-ruin","unheilstafeln","bois-du-fléau","재앙의목간","災禍之簡"
"287","わざわいのたま","beads-of-ruin","unheilsjuwelen","perles-du-fléau","재앙의구슬","災禍之玉"
"288","ひひいろのこどう","orichalcum-pulse","orichalkum-puls","pouls-orichalque","진홍빛고동","緋紅脈動"
"289","ハドロンエンジン","hadron-engine","hadronen-motor","moteur-à-hadrons","하드론엔진","強子引擎"
"290","びんじょう","opportunist","profiteur","opportuniste","편승","跟風"
"291","はんすう","cud-chew","wiederkäuer","ruminant","되새김질","反芻"
"292","きれあじ","sharpness","scharfkantig","incisif","예리함","鋒銳"
"293","そうだいしょう","supreme-overlord","feldherr","général-suprême","총대장","大將"
"294","きょうえん","costar","synchronauftritt","collab","협연","同台共演"
"295","どくげしょう","toxic-debris","giftbelag","dépôt-toxique","독치장","毒滿地"
"296","テイルアーマー","armor-tail","schweifrüstung","armure-caudale","테일아머","尾甲"
"297","どしょく","earth-eater","bodenschmaus","absorbe-terre","흙먹기","食土"
"298","きんしのちから","mycelium-might","myzelienkraft","force-fongique","균사의힘","菌絲之力"
